rho_factor,rho,sigma2,theta,weight_norm_growth_ratio,diverged
0.2,0.20788244989445614,0.0025187435172066377,1.9990234375,0.9136029760307908,0
0.4,0.4157648997889123,0.003562041242172938,1.9990234375,0.9067301447886715,0
0.6,0.6236473496833683,0.00436259174303663,1.9990234375,0.921451763414922,0
0.8,0.8315297995778246,0.005037487034413275,1.9990234375,0.9606954385940083,0
0.95,0.9874416369986665,0.0054894742281009655,1.9990234375,1e+18,1
1.05,1.0913828619458947,0.0057711664118893615,1.9990234375,1e+18,1
1.2,1.2472946993667366,0.006169636410099284,1.9990234375,1e+18,1
1.5,1.559118374208421,0.006897863204719884,1.9990234375,1e+18,1
2.0,2.0788244989445612,0.00796496635615648,1.9990234375,1e+18,1
3.0,3.118236748416842,0.009755051695509201,1.9990234375,1e+18,1
